市場,ティッカー,ファンド名,カテゴリ,評価スコア,1年リターン(%),3年年率リターン(%),信託報酬(%),シャープレシオ,最大DD(1年)(%),AUM,RSI14,分配金利回り(%),ハイリスク,マッチ戦略数,マッチ戦略
US,HDV,iShares Core High Dividend ETF,高配当株式,21.0,16.6,15.3,,1.16,-3.2,13758382080,52.5,2.79,False,10,A-1_高リターンモメンタム | A-2_長期安定成長 | B-2_シャープレシオ優位 | B-3_低β安定リターン | C-1_低DD安定型 | C-2_分散効果優位 | D-1_大型高リターン | D-2_超大型安定資金 | E-1_強気ダイバージェンス | F-2_高配当インカム
JP,1306.T,NEXT FUNDS TOPIX Exchange Traded Fund,国内株式（TOPIX）,19.5,38.1,25.1,,1.07,-7.4,33643074420736,48.7,1.68,False,5,A-1_高リターンモメンタム | A-2_長期安定成長 | B-2_シャープレシオ優位 | D-1_大型高リターン | D-2_超大型安定資金
JP,1348.T,MAXIS TOPIX ETF,国内株式（TOPIX）,19.5,38.2,25.2,,1.08,-7.3,4794276118528,48.9,1.8,False,5,A-1_高リターンモメンタム | A-2_長期安定成長 | B-2_シャープレシオ優位 | D-1_大型高リターン | D-2_超大型安定資金
JP,1577.T,NEXT FUNDS Nomura Japan Equity High Dividend 70 ETF,国内株式（高配当）,18.5,45.0,32.9,,1.53,-7.0,223924994048,50.6,2.56,False,5,A-1_高リターンモメンタム | A-2_長期安定成長 | B-2_シャープレシオ優位 | D-1_大型高リターン | F-2_高配当インカム
JP,1320.T,iFreeETF Nikkei225 (Yearly Dividend Type),国内株式（日経225）,17.5,47.9,27.0,,1.02,-9.2,7156005863424,46.1,1.17,False,4,A-1_高リターンモメンタム | B-2_シャープレシオ優位 | D-1_大型高リターン | D-2_超大型安定資金
JP,1321.T,NEXT FUNDS Nikkei 225 Exchange Traded Fund,国内株式（日経225）,17.5,47.7,27.0,,1.04,-9.2,15783481573376,45.9,1.18,False,4,A-1_高リターンモメンタム | B-2_シャープレシオ優位 | D-1_大型高リターン | D-2_超大型安定資金
JP,1330.T,Amova Exchange Traded Index Fund 225,国内株式（日経225）,17.5,47.9,27.1,,1.01,-9.1,7745407811584,46.0,1.17,False,4,A-1_高リターンモメンタム | B-2_シャープレシオ優位 | D-1_大型高リターン | D-2_超大型安定資金
US,DVY,iShares Select Dividend ETF,高配当株式,17.0,15.9,14.4,,0.88,-4.6,22861381632,46.6,3.29,False,9,A-1_高リターンモメンタム | A-2_長期安定成長 | B-2_シャープレシオ優位 | C-1_低DD安定型 | D-1_大型高リターン | D-2_超大型安定資金 | E-1_強気ダイバージェンス | E-2_押し目サポート | F-2_高配当インカム
US,PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,コモディティ（総合）,17.0,34.2,12.7,,0.65,-0.3,5473554944,67.4,3.42,False,6,A-1_高リターンモメンタム | A-2_長期安定成長 | A-3_相対モメンタム上昇 | D-1_大型高リターン | D-2_超大型安定資金 | I-2_コモディティ実物資産
JP,1478.T,iShares MSCI Japan High Dividend ETF,国内株式（高配当）,16.5,38.7,30.2,,1.36,-4.9,177826004992,52.7,2.09,False,4,A-1_高リターンモメンタム | A-2_長期安定成長 | B-2_シャープレシオ優位 | D-1_大型高リターン
JP,1615.T,NEXT FUNDS TOPIX Banks Exchange Traded Fund,国内株式（銀行セクター）,15.5,54.2,42.8,,1.2,-13.6,293090000896,49.5,3.09,False,5,A-1_高リターンモメンタム | B-2_シャープレシオ優位 | D-1_大型高リターン | E-1_強気ダイバージェンス | F-2_高配当インカム
JP,1698.T,Listed Index Fund Japan High Dividend,国内株式（高配当）,15.5,39.6,27.5,,1.45,-5.1,55252000768,51.7,2.6,False,5,A-1_高リターンモメンタム | A-2_長期安定成長 | B-2_シャープレシオ優位 | E-1_強気ダイバージェンス | F-2_高配当インカム
US,DXJ,WisdomTree Japan Hedged Equity Fund,外国株式（日本・円ヘッジ）,14.0,37.8,35.6,,1.54,-9.1,6670535680,43.3,1.09,False,3,A-1_高リターンモメンタム | A-2_長期安定成長 | D-1_大型高リターン
JP,1540.T,Japan Physical Gold ETF,コモディティ（金）,12.0,62.9,41.6,,1.15,-19.1,1925644419072,37.2,,False,1,D-1_大型高リターン
US,GLD,SPDR Gold Shares,コモディティ（金）,12.0,49.0,31.2,,1.11,-16.4,184864325632,38.4,,False,2,A-1_高リターンモメンタム | D-1_大型高リターン
US,VEA,Vanguard FTSE Developed Markets Index Fund ETF Shares,外国株式（先進国）,11.5,23.7,16.2,,0.9,-11.6,307323502592,36.2,2.86,False,4,A-2_長期安定成長 | C-1_低DD安定型 | D-1_大型高リターン | E-2_押し目サポート
US,VYM,Vanguard High Dividend Yield Index Fund ETF Shares,高配当株式,11.5,15.5,16.1,,1.03,-6.4,92321120256,36.0,2.26,False,5,A-2_長期安定成長 | C-1_低DD安定型 | D-1_大型高リターン | E-1_強気ダイバージェンス | E-2_押し目サポート
JP,1699.T,NEXT FUNDS NOMURA Crude Oil Long Index Linked Exchange,コモディティ（原油）,11.0,56.1,22.8,,0.53,-5.0,29699000320,63.4,,True,3,A-1_高リターンモメンタム | A-3_相対モメンタム上昇 | I-2_コモディティ実物資産
US,IAU,iShares Gold Trust,コモディティ（金）,11.0,49.2,31.4,,1.13,-16.4,83820666880,38.3,,False,2,A-1_高リターンモメンタム | D-1_大型高リターン
US,SOXX,iShares Semiconductor ETF,テーマ型（半導体）,11.0,64.0,32.6,,0.81,-12.0,21675081728,40.4,0.49,False,3,A-1_高リターンモメンタム | D-1_大型高リターン | E-1_強気ダイバージェンス
US,SCHD,Schwab U.S. Dividend Equity ETF,高配当株式,10.5,12.8,12.9,,0.79,-4.5,85904449536,41.1,3.3,False,5,A-1_高リターンモメンタム | A-2_長期安定成長 | C-1_低DD安定型 | D-1_大型高リターン | F-2_高配当インカム
US,IEMG,iShares Core MSCI Emerging Markets ETF,外国株式（新興国）,10.0,27.5,16.2,,0.8,-12.5,148632256512,38.5,2.41,False,3,A-2_長期安定成長 | D-1_大型高リターン | E-2_押し目サポート
US,EWJ,iShares MSCI Japan ETF,外国株式（日本）,9.0,20.4,16.2,,0.72,-13.3,20311529472,37.6,3.95,False,4,A-2_長期安定成長 | D-1_大型高リターン | E-1_強気ダイバージェンス | E-2_押し目サポート
US,VOO,Vanguard S&P 500 ETF,外国株式（S&P500）,9.0,12.5,18.9,,1.02,-8.9,1512901836800,27.9,1.12,False,1,A-2_長期安定成長
US,EFA,iShares MSCI EAFE ETF,外国株式（先進国）,8.5,17.0,14.4,,0.8,-11.2,77836582912,35.6,3.08,False,4,A-2_長期安定成長 | C-1_低DD安定型 | D-1_大型高リターン | E-2_押し目サポート
JP,2558.T,MAXIS S&P500 US Equity ETF,外国株式（S&P500）,8.0,27.8,25.3,,0.97,-5.8,106454999040,41.1,0.88,False,2,D-1_大型高リターン | E-2_押し目サポート
US,EEM,iShares MSCI Emerging Markets ETF,外国株式（新興国）,8.0,27.4,15.8,,0.77,-12.8,30140446720,38.3,1.94,False,3,A-2_長期安定成長 | D-1_大型高リターン | E-2_押し目サポート
US,IVV,iShares Core S&P 500 ETF,外国株式（S&P500）,8.0,12.9,19.0,,1.02,-8.6,750651899904,28.5,1.17,False,1,A-2_長期安定成長
US,VTI,Vanguard Total Stock Market Index Fund ETF Shares,外国株式（全米）,8.0,12.7,18.5,,0.95,-8.8,2088924610560,29.0,1.11,False,1,A-2_長期安定成長
JP,1343.T,NEXT FUNDS REIT INDEX ETF,国内REIT,7.5,19.3,6.2,,0.5,-6.7,564196016128,36.5,4.24,False,2,C-1_低DD安定型 | D-1_大型高リターン
US,QQQ,Invesco QQQ Trust,外国株式（NASDAQ100）,7.0,16.6,23.2,,1.0,-11.4,395032887296,29.9,0.46,False,1,A-2_長期安定成長
US,SPY,State Street SPDR S&P 500 ETF Trust,外国株式（S&P500）,7.0,12.8,18.9,,0.97,-8.6,698270220288,28.5,1.06,False,1,A-2_長期安定成長
JP,1345.T,Listed Index Fund J-REIT (Tokyo Stock Exchange REIT Index),国内REIT,6.5,19.4,6.1,,0.51,-6.8,196811997184,36.1,4.01,False,2,C-1_低DD安定型 | D-1_大型高リターン
US,AOA,iShares Core 80/20 Aggressive Allocation ETF,バランス型（積極）,6.0,14.0,14.5,,1.02,-8.1,2913211136,32.6,2.09,False,1,A-2_長期安定成長
US,VWO,Vanguard Emerging Markets Stock Index Fund,外国株式（新興国）,6.0,17.8,13.7,,0.74,-11.0,158398922752,37.2,2.58,False,2,A-2_長期安定成長 | E-2_押し目サポート
JP,2563.T,iShares S&P 500 JPY Hedged ETF,外国株式（S&P500）,5.0,13.9,12.4,,0.57,-7.4,88503001088,37.7,1.0,False,2,A-2_長期安定成長 | E-2_押し目サポート
US,ACWI,iShares MSCI ACWI ETF,全世界株式,5.0,15.5,17.4,,0.98,-9.5,29157464064,32.3,1.49,False,1,A-2_長期安定成長
US,AOM,iShares Core 40/60 Moderate Allocation ETF,バランス型（安定）,5.0,9.2,9.2,,1.07,-5.1,1719859200,32.7,2.89,False,1,A-2_長期安定成長
US,VT,Vanguard Total World Stock Index Fund ETF Shares,全世界株式,5.0,16.2,17.4,,0.99,-9.4,83530907648,32.6,1.74,False,1,A-2_長期安定成長
JP,2516.T,TSE Growth 250 ETF,国内株式（グロース）,4.0,13.1,-0.9,,-0.04,-8.5,12017999872,48.3,,False,1,A-1_高リターンモメンタム
JP,2552.T,Listed Index Fund J-REIT (Tokyo Stock Exchange REIT Index) Bi-Monthly Mini,国内REIT,3.5,19.4,6.2,,0.48,-7.3,39537000448,32.3,4.16,False,1,C-1_低DD安定型
